Component, GAV, License, URL, Scope, Path
almond,0.2.2,MIT License,https://github.com/jrburke/almond/,binary,
AOP alliance,aopalliance:aopalliance:1.0:jar,Public Domain,http://aopalliance.sourceforge.net,binary,
Apache Commons BeanUtils,commons-beanutils:commons-beanutils:1.9.4:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Codec,commons-codec:commons-codec:1.15:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons CSV,org.apache.commons:commons-csv:1.10.0:jar,Apache License 2.0,https://commons.apache.org/proper/commons-csv/,binary,
Apache Commons Exec,org.apache.commons:commons-exec:1.3:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Lang,org.apache.commons:commons-lang3:3.13.0:jar,Apache License 2.0,https://commons.apache.org/proper/commons-lang/,binary,
Apache Commons Text,org.apache.commons:commons-text:1.10.0:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Validator,commons-validator:commons-validator:1.7:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Log4j 1.x Compatibility API,org.apache.logging.log4j:log4j-1.2-api:2.17.2:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/license.html,binary,
Apache Log4j API,org.apache.logging.log4j:log4j-api:2.17.2:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/,binary,
Apache POI,org.apache.poi:poi-ooxml-schemas:3.11:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache POI,org.apache.poi:poi-ooxml:3.11:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache POI,org.apache.poi:poi:3.11:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Velocity,org.apache.velocity:velocity:1.6.4-atlassian-25:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Applinks - API,com.atlassian.applinks:applinks-api:8.0.2:jar,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-api/,binary,
args4j,args4j:args4j:2.0.26:bundle,MIT License,http://args4j.kohsuke.org/args4j/,binary,
Atlassian Annotations - Annotations,com.atlassian.annotations:atlassian-annotations:2.1.0:jar,BSD License,http://www.atlassian.com/public-pom/atlassian-annotations-parent/atlassian-annotations/,binary,
Atlassian Concurrency Utilities,com.atlassian.util.concurrent:atlassian-util-concurrent:3.0.0:jar,Apache License 2.0,https://labs.atlassian.com/wiki/display/CONCURRENT/Home,binary,
Atlassian Concurrency Utilities,io.atlassian.util.concurrent:atlassian-util-concurrent:4.0.1:jar,Apache 2,https://labs.atlassian.com/wiki/display/CONCURRENT/Home,binary,
Atlassian Core User,com.atlassian.core:atlassian-core-user:8.0.1:jar,BSD License,https://docs.atlassian.com/atlassian-core-user/8.0.1/atlassian-core-user,binary,
Atlassian Core,com.atlassian.core:atlassian-core:7.0.2:jar,BSD License,http://docs.atlassian.com/atlassian-core/7.0.2/atlassian-core,binary,
Atlassian Johnson :: Core,com.atlassian.johnson:atlassian-johnson-core:4.0.0:jar,BSD License,https://docs.atlassian.com/atlassian-johnson-core/4.0.0/atlassian-johnson-core,binary,
Atlassian Mail,com.atlassian.mail:atlassian-mail:5.1.4:jar,BSD,http://docs.atlassian.com/atlassian-mail/5.1.4,binary,
Atlassian OfBiz Entity Engine,com.atlassian.ofbiz:entityengine:3.0.5:jar,Apache License 2.0,http://maven.apache.org/entityengine,binary,
Atlassian OfBiz Share,com.atlassian.ofbiz:entityengine-share:3.0.9:jar,Apache License 2.0,http://maven.apache.org/entityengine-share,binary,
Atlassian Plugins - Web Resources Google Closure Compiler,com.atlassian.plugins:atlassian-plugins-webresource-compiler-gcc:6.0.5:jar,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource-compiler-gcc/,binary,
